NomeEstacao,CodEstacao,StatusEstacao,MunicipioUF,Latitude,Longitude,Altitude,Operadora,Responsavel,Origem,Bacia,SubBacia,CodRio
MÂNCIO LIMA,00772006,Ativo,MÂNCIO LIMA-AC,-7.59360,-72.92610,216.00,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,RHN,1,12,0
SENA MADUREIRA,00968006,Ativo,SENA MADUREIRA-AC,-9.05860,-68.65920,190.00,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,RHN,1,13,0
SANTA ROSA,00970003,Ativo,SANTA ROSA DO PURUS-AC,-9.43860,-70.49220,219.00,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,RHN,1,13,0
JORDÃO,00971002,Ativo,JORDÃO-AC,-9.19389,-71.94917,239.00,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,RHN,1,12,0
THAUMATURGO,12370000,Ativo,MARECHAL THAUMATURGO-AC,-8.94580,-72.78470,0.00,00426 - CONSTRUFAM - Construfam Engenharia e Empreendimentos Ltda.,00001 - ANA - Agência Nacional de Águas ,RHN,1,12,12200000
PORTO WALTER,12390000,Ativo,PORTO WALTER-AC,-8.26720,-72.74110,0.00,00426 - CONSTRUFAM - Construfam Engenharia e Empreendimentos Ltda.,00001 - ANA - Agência Nacional de Águas ,RHN,1,12,12200000
CRUZEIRO DO SUL,12500000,Ativo,CRUZEIRO DO SUL-AC,-7.63330,-72.66030,0.00,00426 - CONSTRUFAM - Construfam Engenharia e Empreendimentos Ltda.,00001 - ANA - Agência Nacional de Águas ,RHN,1,12,12200000
PONTE DO RIO LIBERDADE,12510500,Ativo,TARAUACÁ-AC,-7.79940,-72.02110,189.00,00426 - CONSTRUFAM - Construfam Engenharia e Empreendimentos Ltda.,00001 - ANA - Agência Nacional de Águas ,RHN,1,12,12253000
JORDÃO,12557000,Ativo,JORDÃO-AC,-9.18830,-71.95250,239.00,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,RHN,1,12,12280000
PONTE DE TARAUACÁ,12590000,Ativo,TARAUACÁ-AC,-8.15190,-70.74560,0.00,00426 - CONSTRUFAM - Construfam Engenharia e Empreendimentos Ltda.,00001 - ANA - Agência Nacional de Águas ,RHN,1,12,12280000
SERINGAL SANTA HELENA,12640000,Ativo,FEIJÓ-AC,-8.68580,-70.55110,0.00,00426 - CONSTRUFAM - Construfam Engenharia e Empreendimentos Ltda.,00001 - ANA - Agência Nacional de Águas ,RHN,1,12,12286000
FEIJÓ,12650000,Ativo,FEIJÓ-AC,-8.16360,-70.35640,0.00,00426 - CONSTRUFAM - Construfam Engenharia e Empreendimentos Ltda.,00001 - ANA - Agência Nacional de Águas ,RHN,1,12,12286000
SANTA ROSA DO PURUS - SEDE,13169900,Ativo,SANTA ROSA DO PURUS-AC,-9.43420,-70.49420,0.00,00426 - CONSTRUFAM - Construfam Engenharia e Empreendimentos Ltda.,00001 - ANA - Agência Nacional de Águas ,RHN,1,13,13300000
MANOEL URBANO,13180000,Ativo,MANOEL URBANO-AC,-8.88860,-69.27500,0.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,1,13,13300000
SENA MADUREIRA,13310000,Ativo,SENA MADUREIRA-AC,-9.06780,-68.65310,0.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,1,13,13329000
SERINGAL GUARANY,13405000,Ativo,SENA MADUREIRA-AC,-9.11030,-68.99330,0.00,00426 - CONSTRUFAM - Construfam Engenharia e Empreendimentos Ltda.,00001 - ANA - Agência Nacional de Águas ,RHN,1,13,13329800
ALDEIA DOS PATOS,13439000,Ativo,ASSIS BRASIL-AC,-10.92610,-69.92330,256.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,1,13,13330000
ASSIS BRASIL,13450000,Ativo,ASSIS BRASIL-AC,-10.94360,-69.56560,0.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,1,13,13330000
