NomeEstacao,CodEstacao,StatusEstacao,MunicipioUF,Latitude,Longitude,Altitude,Operadora,Responsavel,Origem,Bacia,SubBacia,CodRio
PCH PLANALTO MONTANTE 2,60959500,Ativo,CASSILÂNDIA-MS,-18.76670,-52.44310,650.53,00609 - PLANALTO - Planalto Energética S.A.,00609 - PLANALTO - Planalto Energética S.A.,Setor Elétrico,6,60,60950000
CASSILÂNDIA,60968000,Ativo,CASSILÂNDIA-MS,-19.10750,-51.72080,443.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,60,60950000
PCH COSTA RICA MONTANTE 2,63000050,Ativo,COSTA RICA-MS,-18.43890,-53.05080,650.00,00178 - COSTA RICA - Costa Rica Energética Ltda.,00178 - COSTA RICA - Costa Rica Energética Ltda.,Setor Elétrico,6,63,63100000
PCH COSTA RICA MONTANTE 1,63000100,Ativo,COSTA RICA-MS,-18.54780,-53.12280,632.00,00178 - COSTA RICA - Costa Rica Energética Ltda.,00178 - COSTA RICA - Costa Rica Energética Ltda.,Setor Elétrico,6,63,63100000
PCH COSTA RICA BARRAMENTO,63001080,Ativo,COSTA RICA-MS,-18.55860,-53.13310,620.00,00178 - COSTA RICA - Costa Rica Energética Ltda.,00178 - COSTA RICA - Costa Rica Energética Ltda.,Setor Elétrico,6,63,63100000
PCH COSTA RICA JUSANTE,63001100,Ativo,COSTA RICA-MS,-18.55890,-53.13750,570.00,00178 - COSTA RICA - Costa Rica Energética Ltda.,00178 - COSTA RICA - Costa Rica Energética Ltda.,Setor Elétrico,6,63,63100000
PCH PARAISO I MONTANTE 2,63001117,Ativo,COSTA RICA-MS,-18.88140,-53.07390,615.00,00466 - PANTANAL - Pantanal Energética Ltda.,00466 - PANTANAL - Pantanal Energética Ltda.,Setor Elétrico,6,63,63109000
PCH PARAÍSO I MONTANTE 1,63001120,Ativo,CHAPADÃO DO SUL-MS,-18.94780,-53.02390,590.00,00466 - PANTANAL - Pantanal Energética Ltda.,00466 - PANTANAL - Pantanal Energética Ltda.,Setor Elétrico,6,63,63109000
PCH PARAISO I BARRAMENTO,63001125,Ativo,COSTA RICA-MS,-19.04060,-53.00190,590.00,00466 - PANTANAL - Pantanal Energética Ltda.,00466 - PANTANAL - Pantanal Energética Ltda.,Setor Elétrico,6,63,63109000
PCH PARAÍSO I JUSANTE,63001130,Ativo,COSTA RICA-MS,-19.05310,-52.99360,475.00,00466 - PANTANAL - Pantanal Energética Ltda.,00466 - PANTANAL - Pantanal Energética Ltda.,Setor Elétrico,6,63,63109000
PORTO DE PEDRAS,63001200,Ativo,COSTA RICA-MS,-19.05670,-53.01890,454.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,63,63100000
PCH ALTO SUCURIÚ MONTANTE,63001223,Ativo,PARAÍSO DAS ÁGUAS-MS,-19.06140,-52.99470,472.00,00406 - ONIX - Ônix Geração de Energia S.A,00406 - ONIX - Ônix Geração de Energia S.A,Setor Elétrico,6,63,63100000
PCH ALTO SUCURIÚ RIO SÃO JOÃO,63001225,Ativo,ÁGUA CLARA-MS,-19.25250,-52.88440,464.00,00406 - ONIX - Ônix Geração de Energia S.A,00406 - ONIX - Ônix Geração de Energia S.A,Setor Elétrico,6,63,63115000
PCH ALTO SUCURIÚ BARRAMENTO,63001228,Ativo,CHAPADÃO DO SUL-MS,-19.24500,-52.88080,451.00,00406 - ONIX - Ônix Geração de Energia S.A,00406 - ONIX - Ônix Geração de Energia S.A,Setor Elétrico,6,63,63100000
PCH ALTO SUCURIÚ JUSANTE,63001230,Ativo,CHAPADÃO DO SUL-MS,-19.24500,-52.87940,445.00,00406 - ONIX - Ônix Geração de Energia S.A,00406 - ONIX - Ônix Geração de Energia S.A,Setor Elétrico,6,63,63100000
